2020-07-31 16:37:46 status unpacked util-linux:arm64 2.34-0.1ubuntu9
2020-07-31 16:37:46 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:37:46 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:37:46 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu1
2020-07-31 16:37:47 startup packages configure
2020-07-31 16:37:47 configure lsb-base:all 11.1.0ubuntu2 <none>
2020-07-31 16:37:47 status unpacked lsb-base:all 11.1.0ubuntu2
2020-07-31 16:37:47 status half-configured lsb-base:all 11.1.0ubuntu2
2020-07-31 16:37:47 status installed lsb-base:all 11.1.0ubuntu2
2020-07-31 16:37:47 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2020-07-31 16:37:47 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:37:47 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:37:47 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-07-31 16:37:47 configure libsemanage-common:all 3.0-1build2 <none>
2020-07-31 16:37:47 status unpacked libsemanage-common:all 3.0-1build2
2020-07-31 16:37:47 status half-configured libsemanage-common:all 3.0-1build2
2020-07-31 16:37:47 status installed libsemanage-common:all 3.0-1build2
2020-07-31 16:37:47 configure gcc-10-base:arm64 10-20200411-0ubuntu1 <none>
2020-07-31 16:37:47 status unpacked gcc-10-base:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:47 status half-configured gcc-10-base:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:47 status installed gcc-10-base:arm64 10-20200411-0ubuntu1
2020-07-31 16:37:47 configure ncurses-base:all 6.2-0ubuntu2 <none>
2020-07-31 16:37:47 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:37:47 status half-configured ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:37:47 status installed ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:37:47 configure sensible-utils:all 0.0.12+nmu1 <none>
2020-07-31 16:37:47 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:37:47 status half-configured sensible-utils:all 0.0.12+nmu1
2020-07-31 16:37:47 status installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:37:47 configure libcrypt1:arm64 1:4.4.10-10ubuntu4 <none>
2020-07-31 16:37:47 status unpacked libcrypt1:arm64 1:4.4.10-10ubuntu4
2020-07-31 16:37:47 status half-configured libcrypt1:arm64 1:4.4.10-10ubuntu4
